id,title,category1,category2,url,image_url,created_at,updated_at
256,허벅지 굵어지는 대퇴사두 5초포워드런지,musle,,/watch?v=lrY9A9AZ-sk,https://i.ytimg.com/vi/lrY9A9AZ-sk/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAInnaNdBVuGpnhuF1RPIE_-Wah1A,2017-07-09 06:30:26.636008,2017-07-09 06:41:23.474318
257,남자의 힘을 기르는 허벅지 하체 운동,musle,,/watch?v=h7Yuqu_mNcw,https://i.ytimg.com/vi/h7Yuqu_mNcw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAX6xFw_ZPk63PM4YJRJsqsyGt88A,2017-07-09 06:30:26.639361,2017-07-09 06:41:23.867005
258,남자도 런지와 스쿼트로 하체를 박살낼 수 있다!,musle,,/watch?v=hYbgFFTNXNo,https://i.ytimg.com/vi/hYbgFFTNXNo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCxjgGFtIC5KdpQC1SG8HZKzW4aEA,2017-07-09 06:30:26.642107,2017-07-09 06:41:24.284537
259,"하체운동 순서 루틴 베스트5 (하체근육 만들기 운동 종류, 허벅지 근육 운동)",musle,,/watch?v=DIkVWGSVPzI,https://i.ytimg.com/vi/DIkVWGSVPzI/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBpzaTTR3JcdnE_wqJdpjGUdJcGlA,2017-07-09 06:30:26.645339,2017-07-09 06:41:24.666084
260,"절대남자2 - ""Absolute_man2"" Ep.11 : 하드트레이닝 허벅지 근육 트레이닝",musle,,/watch?v=TB6-BiZew6E,https://i.ytimg.com/vi/TB6-BiZew6E/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCWSAO9PnyrUsQN8VtvLrwonv4XoQ,2017-07-09 06:30:26.649531,2017-07-09 06:41:25.061395
261,"레그프레스 자세&꿀팁 (헬스장 하체 운동기구, 허벅지 근력운동 머신)",musle,,/watch?v=8JZfyEXwILw,https://i.ytimg.com/vi/8JZfyEXwILw/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAdbFsSxFYlIEdZJp9cw7lDgpsciQ,2017-07-09 06:30:34.878143,2017-07-09 06:41:25.434290
262,엉덩이 살빼기 ^^ 허벅지 뒤쪽 살빼기 ^^,musle,,/watch?v=3tJlupiK1gM,https://i.ytimg.com/vi/3tJlupiK1gM/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCCZS2o5sj1VSUTdNoliIgoda1qtA,2017-07-09 06:30:34.881768,2017-07-09 06:41:25.786481
263,[남자는 허리? 남자는 허벅지! 하체운동방송]▶BJ창현,musle,,/watch?v=JFXQxbtE6EU,https://i.ytimg.com/vi/JFXQxbtE6EU/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDqhLV8MtdxIfLraSDfCWf3zEhCGg,2017-07-09 06:30:34.884439,2017-07-09 06:41:26.123619
264,딴딴한 허벅지를 위한 하체 운동루틴을 확인하세요!,musle,,/watch?v=xYQO-gvhotU,https://i.ytimg.com/vi/xYQO-gvhotU/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD99gEkkvY9GGRKahdB4eSFlUkf0g,2017-07-09 06:30:34.887171,2017-07-09 06:41:26.626598
265,"[데스런 홈트레이닝] 맨몸 하체운동, 단계별 맨몸 스쿼트와 런지",musle,,/watch?v=Ij5b22zQss0,https://i.ytimg.com/vi/Ij5b22zQss0/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLC_bcMLkvj08lMeDsixqkPjjfdwDA,2017-07-09 06:30:34.890067,2017-07-09 06:41:27.321027
